Target Distance: 50, Step Size: 2
0: (x, y) = (1.65808, 1.11839)
1: (x, y) = (1.41421, -1.41421)
2: (x, y) = (-0.0349048, -1.9997)
3: (x, y) = (-0.651136, -1.89104)
4: (x, y) = (1.61803, -1.17557)
5: (x, y) = (1.84101, 0.781462)
6: (x, y) = (-0.069799, 1.99878)
7: (x, y) = (0.139513, -1.99513)
8: (x, y) = (1.38932, -1.43868)
9: (x, y) = (-1.08928, -1.67734)
10: (x, y) = (-1.73205, -1)
11: (x, y) = (-1.31212, -1.50942)
12: (x, y) = (-0.278346, -1.98054)
13: (x, y) = (0.449902, -1.94874)
14: (x, y) = (1.99513, 0.139513)
15: (x, y) = (-1.38932, -1.43868)
16: (x, y) = (-1.48629, -1.33826)
17: (x, y) = (1.67734, -1.08928)
18: (x, y) = (-1.57602, 1.23132)
19: (x, y) = (0.312869, 1.97538)
20: (x, y) = (0.969619, 1.74924)
21: (x, y) = (0.174311, 1.99239)
22: (x, y) = (-1.59727, 1.20363)
23: (x, y) = (1.31212, 1.50942)
24: (x, y) = (-1.98054, -0.278346)
25: (x, y) = (0.517638, -1.93185)
26: (x, y) = (-1.98509, -0.243739)
27: (x, y) = (1.28558, -1.53209)
28: (x, y) = (1.08928, -1.67734)
29: (x, y) = (-1.28558, -1.53209)
30: (x, y) = (1.48629, -1.33826)
31: (x, y) = (-1.74924, -0.969619)
32: (x, y) = (1.08928, 1.67734)
33: (x, y) = (-1.364, -1.46271)
34: (x, y) = (1.7659, -0.938943)
35: (x, y) = (1.85437, 0.749213)
36: (x, y) = (-0.651136, -1.89104)
37: (x, y) = (0.876742, -1.79759)
38: (x, y) = (-1.9563, 0.415823)
39: (x, y) = (0.449902, 1.94874)
40: (x, y) = (-1.98509, 0.243739)
41: (x, y) = (1.90211, 0.618034)
42: (x, y) = (-1.99878, 0.069799)
43: (x, y) = (1.20363, -1.59727)
44: (x, y) = (1.03008, -1.71433)
45: (x, y) = (-1.99878, -0.069799)
46: (x, y) = (1.38932, 1.43868)
47: (x, y) = (1.61803, 1.17557)
48: (x, y) = (1.86716, 0.716736)
49: (x, y) = (1, 1.73205)
50: (x, y) = (-0.907981, 1.78201)
51: (x, y) = (0.278346, 1.98054)
52: (x, y) = (1.91261, 0.584743)
53: (x, y) = (-1.33826, 1.48629)
54: (x, y) = (-1.33826, 1.48629)
55: (x, y) = (-1.81262, -0.845237)
56: (x, y) = (1.08928, 1.67734)
57: (x, y) = (1.50942, -1.31212)
58: (x, y) = (1.7659, 0.938943)
59: (x, y) = (-1.20363, -1.59727)
60: (x, y) = (0.969619, 1.74924)
61: (x, y) = (1.94059, -0.483844)
62: (x, y) = (1.38932, -1.43868)
63: (x, y) = (-0.938943, 1.7659)
64: (x, y) = (-1.67734, -1.08928)
65: (x, y) = (-1.86716, 0.716736)
66: (x, y) = (1.9563, 0.415823)
67: (x, y) = (1.82709, -0.813473)
68: (x, y) = (-0.174311, 1.99239)
69: (x, y) = (-1.9997, -0.0349048)
70: (x, y) = (1.17557, 1.61803)
71: (x, y) = (-1.55429, 1.25864)
72: (x, y) = (-1.89104, -0.651136)
73: (x, y) = (-1.23132, -1.57602)
74: (x, y) = (0.069799, 1.99878)
75: (x, y) = (1.94874, 0.449902)
